id,name,author,content,tags
aca20c55468147309bb7a2e69113fc2f,过垂虹,宋代 姜夔,"
自作新词韵最娇，小红低唱我吹箫。<br>曲终过尽松陵路，回首烟波十四桥。
","古诗三百首,行舟,友情"
1637521011a84198843cedd949bfd3e1,贾人食言,清代 邹弢,"
　　济阴之贾人，渡河而亡其舟，栖于浮苴之上，号呼救命。有渔者以舟往救之。未至，贾人曰：""我富者也，能救我，予尔百金！""渔者载而登陆，则予十金。渔者曰：""向许百金而今但予十金？""贾人勃然作色曰：""若渔者也，一日捕鱼能获几何？而骤得十金犹为不足乎？""渔者黯然而退。他日，贾人浮吕梁而下，舟薄于石，又覆，而渔者在焉。或曰：""何以不就？""渔者曰：""是许金而不酬者也！""未久，贾人没。
","初中文言文,诚信,寓言,故事"
ed4949da8d374ee8b170853d0f983b5a,西江月·携手看花深径,宋代 贺铸,"
携手看花深径，扶肩待月斜廊。临分少伫已伥伥，此段不堪回想。<br>欲寄书如天远，难销夜似年长。小窗风雨碎人肠，更在孤舟枕上。
","宋词精选,离别,相思,追忆,爱情,恋情"
4635c1ece6f24be2a67d39d881c67906,菩萨蛮·七夕,宋代 苏轼,"
风回仙驭云开扇，更阑月坠星河转。枕上梦魂惊，晓檐疏雨零。<br>相逢虽草草，长共天难老。终不羡人间，人间日似年。
","节日,七夕"
d3c6e33f1a8f4a4a89aa88af505f50ad,满江红·屈指兴亡,明代 张煌言,"
屈指兴亡，恨南北、黄图消歇。便几个、孤忠大义，冰清玉烈。赵信城边羌笛雨，李陵台上胡笳月。惨模糊、吹出玉关情，声凄切。<br>汉宫露，梁园雪。双龙逝，一鸿灭。剩逋臣怒击，唾壶皆缺。豪杰气吞白凤髓，高怀眦饮黄羊血。试排云、待把捧日心，诉金阙。
","抒怀,述志,亡国"
1bb6aeb0f3df467096b339059df37896,论诗五首,清代 赵翼,"
<br>
<br>
<br>
<br>
<br>
","组诗,志向"
e552cda62edc4c7db5617434e6af94b0,浣溪沙·咏五更和湘真韵,清代 纳兰性德,"
微晕娇花湿欲流，簟纹灯影一生愁。梦回疑在远山楼。<br>残月暗窥金屈戍，软风徐荡玉帘钩。待听邻女唤梳头。
","写景,抒情"
3ec832865cb742a084f30565b64178e2,题报恩寺上方,唐代 方干,"
来来先上上方看，眼界无穷世界宽。<br>岩溜喷空晴似雨，林萝碍日夏多寒。<br>众山迢递皆相叠，一路高低不记盘。<br>清峭关心惜归去，他时梦到亦难判。
","写景,抒怀"
0cf6699b3dd2453883f93a0e4727cbf0,庾楼晓望,唐代 白居易,"
独凭朱槛立凌晨，山色初明水色新。<br>竹雾晓笼衔岭月，频风暖送过江春。<br>子城阴处犹残雪，衙鼓声前未有尘。<br>三百年来庾楼上，曾经多少望乡人。
","登高,写景,思乡"
b1f86de235f548e6a370cc55696f62c1,送二兄入蜀,唐代 卢照邻,"
关山客子路，花柳帝王城。<br>此中一分手，相顾怜无声。
","送别,亲情"
364aef991cfa4701b51560ee101ac998,九日次韵王巩,宋代 苏轼,"
我醉欲眠君罢休，已教从事到青州。<br>鬓霜饶我三千丈，诗律输君一百筹。<br>闻道郎君闭东阁，且容老子上南楼。<br>相逢不用忙归去，明日黄花蝶也愁。
","重阳节,抒情,怀才不遇"
50d30fcb7d6140339b0bda33f658728b,赠郭将军,唐代 李白,"
将军少年出武威，入掌银台护紫微。<br>平明拂剑朝天去，薄暮垂鞭醉酒归。<br>爱子临风吹玉笛，美人向月舞罗衣。<br>畴昔雄豪如梦里，相逢且欲醉春晖。
","写人,将军,抒情,怀才不遇"
13a3343bd7ea49368c9edef3be4b10e6,贺新郎·酬辛幼安再用韵见寄,宋代 陈亮,"
离乱从头说。爱吾民、金缯不爱，蔓藤累葛。壮气尽消人脆好，冠盖阴山观雪。亏杀我、一星星发。涕出女吴成倒转，问鲁为齐弱何年月。丘也幸，由之瑟。 <br>斩新换出旗麾别。把当时、一椿大义，拆开收合。据地一呼吾往矣，万里摇肢动骨。这话霸、又成痴绝。天地洪炉谁扇鞲，算於中、安得长坚铁。淝水破，关东裂。
","抒情,愤懑,志气"
589712fea802480c96745c250eb75a40,如梦令·春思,宋代 苏轼,"
手种堂前桃李，无限绿阴青子。帘外百舌儿，惊起五更春睡。居士，居士。莫忘小桥流水。
","回忆,生活"
b4c1dfde005d4d4fb165ba80d6621148,题龙阳县青草湖,元代 唐珙,"
西风吹老洞庭波，一夜湘君白发多。<br>醉后不知天在水，满船清梦压星河。
","写景,叙梦,纪游"
145300d4f79149f687c43ade86c8143b,端午,唐代 文秀,"
节分端午自谁言，万古传闻为屈原。<br>堪笑楚江空渺渺，不能洗得直臣冤。
","端午节,抒怀"
